content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt
app lento e com travamentos constantes.;3;0;2.2.436689.0;2021-12-04 11:17:52;;
App bacana, com várias opções... porém, muito lento;3;0;2.2.438005.0;2021-12-17 19:12:22;;
APP não está totalmente em português. É frustrante. Necessário corrigirem esta falha.;3;0;2.2.436689.0;2021-11-25 00:27:26;;
Engasgos na leitura dos ebook. Desisti de usar prá isso. Espero correção disto urgente.;3;0;2.2.427576.0;2021-10-11 13:43:59;;
Não é sempre que Alexa ouve o chamado e atende. Precisam melhorar essa interação.;3;21;2.2.427576.0;2021-10-18 16:22:13;;
Uma pena ter que tocar para falar, seria bom se apenas com o dispositivo aberto podesse fazer contado sem ter que ter contato;3;1;2.2.432925.0;2021-11-06 23:24:54;;
O app trava e demora a dar resposta ao toque;3;0;2.2.435197.0;2021-11-16 08:44:41;;
Porque não está mais disponível o idioma português?, assim que baixei o app aparece vários idiomas, só não aparece o português;3;0;2.2.427576.0;2021-10-14 08:45:49;;
O recurso de leitura de livros como se fosse um audiobook falha constantemente.;3;0;2.2.432925.0;2021-10-31 17:31:48;;
podia melhorar em questão da casa conectada pois sem internet não consegue ligar ou desligar nada tem que resolver isso porque mesmo sem internet tem a rede interna e os aparelhos tinha que se conversar;3;1;2.2.430534.0;2021-10-21 22:50:02;;
As vezes trava, e não é muito intuitivo.;3;0;2.2.432925.0;2021-11-07 22:57:55;;
não sei pq hora consigo ligar e desligar o ar-condicionado e aparece para eu falar com a Alexa, e hora some tudo não consigo nada;3;0;2.2.438005.0;2021-12-16 23:49:57;;
Bom, porém com muitos bugs e lento.;3;0;2.2.427576.0;2021-10-13 05:23:24;;
App muito lento no MEU dispositivo Android.;3;0;2.2.432925.0;2021-10-31 20:07:06;;
Eu gostei muito da Amazon Alexa, Porém não tem o aplicativo resso, Será que tem como colocar o aplicativo resso?;3;0;2.2.427576.0;2021-10-18 21:13:48;;
Muito lento comparado com um device dot;3;0;2.2.432925.0;2021-11-06 15:44:01;;
E muito bom mas pode melhorar ainda mais, como por exemplo habilitar perguntas continuas e ela responder sem ter que dizer repetidamente Alexa antes de cada pergunta.;3;0;2.2.438005.0;2021-12-15 21:49:49;;
Aqui no Brasil, não temos a possibilidade de trocarmos vozes da Alexa. Quando teremos esta atualização?;3;0;2.2.427576.0;2021-10-20 00:32:17;;
Por mais q configure a localização e a tv ela não funciona;3;0;2.2.436689.0;2021-12-08 19:25:30;;
Não consigo ter a App em português! Há alguma forma de obter a App em vez de estar tudo escrito em inglês, para português? Obrigado;3;0;2.2.436689.0;2021-12-06 11:04:43;;
Não consegui criar um perfil de voz! Aparece que teve um problema com a conexão.;3;0;2.2.436689.0;2021-12-09 21:43:51;;
Sou calouro, estou querendo participar. Tenho ótimas informações, muito seguro, agilidade e segurança, quanto a entrega e pontualidade.;3;0;2.2.427576.0;2021-10-08 06:37:21;;
Não liga minha TV tenho que ficar procurando um monte de App para baixar insatisfeito totalmente;3;0;2.2.427576.0;2021-10-16 15:54:33;;
Cumpre o que promete , porém tinha que ser mais versátil , tem que usar muita palavras chaves para ela entender;3;0;2.2.427576.0;2021-10-18 18:35:09;;
Durante a leitura de livros, Alexa fica repetindo o capítulo atualao invés de prosseguir para o próximo capítulo;3;0;2.2.435197.0;2021-12-03 01:48:41;;
App não estava abrindo algumas abas, desinstalei e instalei novamente e agora não abre mais.;3;0;2.2.432925.0;2021-11-01 23:10:32;;
Precisa melhorar as funcionalidades e operação do app;3;0;2.2.427576.0;2021-10-09 00:26:13;;
O aplicativo trava minha internet, por isso 03;3;0;2.2.438005.0;2021-12-16 13:48:11;;
Boa app, mas não percebo porque se desinstala sempre que o tablet é desligado. É sempre necessário reinstalar a app nessas ocasiões, o que, para além de incompreensível, é incomodativo. Quando isso deixar de acontecer, merecerá as cinco estrelas.;3;4;2.2.416420.0;2021-08-29 18:02:53;;
Ela em sim e muito boa, mas deveria ter opção para corrigir os erros de português.;3;0;2.2.427576.0;2021-10-18 14:25:56;;
App muito lento, com delay.;3;0;2.2.432925.0;2021-11-01 01:10:01;;
minha TV LG não se conectar com a alexa;3;0;2.2.438005.0;2021-12-07 20:55:46;;
Precisava ter o aplicativo na opção em português de Portugal. Esta muito lento o aplicativo depois das novas atualizações. Precisa dar sugestões de nomes para por no aparelho, Alexa, Amazon, Echo é muito pouco para quem tem vários aparelhos em casa.;3;2;2.2.413073.0;2021-07-22 16:26:05;;
Enquanto o echo é excelente, o app deixa a desejar. Muito lento.;3;0;2.2.427576.0;2021-10-28 09:13:11;;
Bem mais ou menos As skill inúteis funcionam bem, as que são úteis não;3;0;2.2.432925.0;2021-11-03 10:46:48;;
As vezes não reconhece, o Google tem uma experiência melhor.;3;0;2.2.435197.0;2021-11-16 21:28:55;;
Alexa parou de funcionar, as skill são limitadas, faltam atualização;3;0;2.2.426944.0;2021-10-03 21:20:05;;
Muito lento no meu smartphone Samsung A30s;3;0;2.2.436689.0;2021-12-03 00:11:39;;
Não conecta nenhum dispositivo, NENHUM.;3;0;2.2.435197.0;2021-11-11 23:00:55;;
