content;score;thumbsUpCount;reviewCreatedVersion;at
Para a segurança do sistema ela deveria reconhecer só a voz do usuário da conta;4;0;2.2.422256.0;2021-09-21 10:00:56
Gostando da experiência ate agora, sinti falta de algumas coisas mas vou conhecer melhor antes de dizer que algo está faltando.;4;0;2.2.322087.0;2020-04-02 02:18:31
Esta em teste;4;0;2.2.390493.0;2021-03-22 17:14:09
muito bom mas poderia melhora mas pricipalmente pra fazer ligaçao ver contatos nao reconhece;4;0;2.2.403931.0;2021-05-31 12:11:08
Ela tem tido uma performance um pouco lenta no app, não nas respostas da Alexia, mas sim na usabilidade dos menus, sendo as vezes melhor fechar e abrir novamente!;4;0;2.2.305814.0;2019-12-09 22:52:42
ela só poderia ativar quando chama ela, tem que entrar no aplicativo e ela tem menos função que o Google assistente,mas mesmo assim é um aplicativo muito bom,ficaria melhor se tivesse a função de ativar Alexa sem precisar de segurar no botão home;4;1;2.2.314343.0;2020-02-13 14:30:49
Faltam os recursos que existem.na Alexa americana. Faz muita falta.;4;0;2.2.356720.0;2020-09-12 14:56:46
O sistema é ótimo, Más poderiam criar um diferencial como alerta para chuva ou sol, para ser usado como rotina, sendo assim quando for chover, as janelas se fecham, e quando estiver sol, as janelas se abrem, seria uma otima atualização...;4;11;2.2.342851.0;2020-07-03 18:41:23
É bem útil pra música, informações ela responde tipo secretaria.;4;0;2.2.394437.0;2021-04-10 22:25:19
Top, interação total;4;0;2.2.375370.0;2020-12-09 03:53:24
Uso muito o aplicativo, não dei 5 estrelas pois acho que poderia existir maior integração com os demais aplicativos de casa inteligente realizando todas as funcionalidades dos dispositivos.;4;0;;2021-10-24 12:39:36
Eu adorei mas quando o APP está off e não consigo chamar a alexa adicionem uma opção para ela funcionar em segundo plano e daí eu darei 5 estrelas Mas por enquanto eu vou dar so 4;4;0;2.2.430534.0;2021-10-25 21:20:50
Aplicativo ajuda bastante, poderia apenas ser um pouco mais rápido.;4;0;2.2.416420.0;2021-08-20 01:08:30
Adorei, consigo controlar a Alexa mas, algumas skils não funcionam.;4;1;2.2.403931.0;2021-05-19 10:59:53
Bom app mas meio limitado espero que logo as limitações sejam sanadas!!;4;0;2.2.359773.0;2020-09-20 16:02:39
A experiência é muito positiva.;4;0;2.2.407457.0;2021-06-28 16:02:42
Poderia funciona em qualquer tela, inclusive com a tela desligada!;4;0;;2021-04-10 05:25:14
Estou com dificuldade em conectar a voz;4;0;2.2.400291.0;2021-05-14 03:21:38
Estou me adaptando;4;0;2.2.373840.0;2020-11-30 22:44:58
Me surpreendeu o som e maravilhoso sem comparações muito bom;4;0;2.2.435306.0;2021-11-20 21:05:54
Ela só precisa estar mais atenta;4;0;2.2.427576.0;2021-10-22 16:06:43
Gostei muitooo so acho que ela deviria colocar mais informações eu fiquei quase meia hora tentando colocar na tv e ainda n consegui mais toda viu o app é muito bom;4;1;2.2.373840.0;2020-11-29 12:18:01
Novas esperiencias legal;4;0;;2021-07-29 23:50:54
O aplicativo no Android é lento, mas funciona;4;0;2.2.375370.0;2020-12-19 16:24:59
Não há mais a opção para colocar a Alexa em português do Brasil. :(;4;0;2.2.307495.0;2019-12-13 01:48:25
Canal Conectados Hoje no YouTube Conectados Hoje Inscreva 🙏🏻🙏🏻🙏🏻;4;0;;2020-06-13 22:59:48
Ótimo mas falta mais opções de configurações que existe até mesmo em outros apps;4;0;2.2.413073.0;2021-07-17 23:29:11
Muito bom;4;0;2.2.307833.0;2019-12-16 12:09:48
Gosto bastante, mas acho que o design dos aplicativos Amazon poderia ter uma aparência melhor, principalmente o Music. Outro ponto é que a Alexa Echo Dot nunca entende o nome das músicas, um dia pedi Love - Lana Del Rey e ela começou a tocar Let Me Love You Like A Woman - Lana Del Rey e eu tentei diversas vezes, mas sem sucesso. E as novas músicas do álbum Chemtrails ela simplesmente não toca de jeito algum.;4;142;2.2.394437.0;2021-04-10 10:47:31
Gostei do app;4;0;;2021-08-25 21:48:20
Precisando de melhorias.... Travando demais, não está obedecendo comandos por voz.;4;0;2.2.407457.0;2021-07-22 12:34:42
E um aplicativo ótimo;4;0;2.2.367265.0;2020-10-29 20:19:12
APP é ótimo. Só senti falta de você mesmo criar respostas pra Alexa responder nas rotinas;4;0;2.2.297923.0;2019-10-18 15:30:20
Ainda em teste instalando;4;0;2.2.367265.0;2020-10-18 21:44:57
I don't know how to ability access into TuneIn and Audible through the Echo Dot. It could have a Skill for podcasts and for learning languages. Best wishes and Greetings from Brazil.;4;0;2.2.299614.0;2019-10-17 00:27:21
A única coisa que poderiam fazer é ser igual ao assistente concorrente, onde vc não precisa abrir o aplicativo para dar o comando, basta só dizer o nome é pedir para executar.;4;1;2.2.400291.0;2021-05-08 05:58:13
Bom pode melhorar;4;0;2.2.416420.0;2021-08-08 10:56:11
Muito bom mas não dei 5 estrelas por conta dele ser um app um pouquinho difícil de usar.;4;1;2.2.407457.0;2021-06-26 13:57:39
E até legal;4;0;;2020-11-26 23:16:49
E bom de mn;4;0;2.2.423409.0;2021-09-24 01:03:11
Bom;4;0;2.2.407457.0;2021-06-28 21:53:04
Tenho um echo dot 3a geração que funciona muito bem. Mas fui instalar uma skill de fora e agora meu app da Alexa no celular está metade em português e a outra metade em inglês. Já reinstalei o app e o erro persiste. Como proceder para deixar todo português e a temperatura voltar a marcar em graus celsius?!;4;1;2.2.305814.0;2019-12-11 03:47:08
No início está funcionando tudo perfeitamente porem agora a Alexa está travando para tocar as músicas ( para de tocar sozinha ) depois de alguns segundos.....e começa de novo a tocar do nada ...já fiz de tudo e não consegui corrigir esse defeito....se alguém puder me ajudar;4;25;2.2.398067.0;2021-04-27 23:03:17
Ótimo;4;0;;2021-08-23 21:08:23
Meio complicado quando não quer encontrar um aparelho inteligente...;4;0;2.2.384932.0;2021-02-20 19:37:58
Muito bom e fácil;4;0;2.2.416420.0;2021-08-17 02:32:34
Tranquilo de usar....so a parte de reprodução das músicas pelo spotify que poderia melhorar;4;0;2.2.347119.0;2020-08-01 14:31:56
Maravilhoso!;4;0;2.2.375370.0;2021-01-25 22:33:18
Do nada ele fecha.;4;0;2.2.395092.0;2021-04-21 17:08:14
ATUALIZEM LOGO LARA CONSEGUIR OUVIR A PROPRIA PLAYLIST DA DEEZER😩;4;0;2.2.404000.0;2021-06-08 14:39:49
E muito bom mais o muita burocracias até ficar 100%;4;0;2.2.373840.0;2020-11-25 16:02:53
App é lento as vezes!!;4;0;2.2.329454.0;2020-05-10 20:58:30
App é muito bom;4;0;2.2.383959.0;2021-02-05 23:53:48
Muito bom;4;0;2.2.407457.0;2021-06-25 17:43:13
Bom;4;0;2.2.307332.0;2019-12-10 15:16:19
Muito bom...;4;0;;2020-02-13 12:15:39
Incrível so ruim não consigo falar sem tá na tela do Amazon Alexa;4;0;2.2.398067.0;2021-04-26 21:22:02
Achei a experiência muito boa, o que precisa é ativar as funções que já existem em outros países.;4;0;2.2.353746.0;2020-08-27 11:03:09
Muito fácil de usar e bem prático;4;0;2.2.415290.0;2021-08-02 22:53:07
Muito bom.;4;0;;2021-10-19 00:12:46
Está me ajudando bastante. Muito bem feita. Porém, vcs poderiam colocar para chamar a alexa sem que estejamos dentro do app. Fora isso, amo a alexa de mais. Minha assistente virtual s2;4;1;2.2.403931.0;2021-06-02 02:47:40
Muito bom porem, deixa de der muito util porque so funciona com app aberto.;4;0;2.2.410255.0;2021-07-01 18:26:10
Eu dou 4 estrelas, amo o APP e a Alexa, mas não consigo ligar para minha amiga, ela tem uma Alexa igualzinho a minha, tenho ela nos meus contatos mais não consigo ligar para ela pela Alexa. Por favor me ajudem só queria que eu pudesse ligar para minha amiga.;4;0;;2021-05-28 11:08:22
Ótimo app;4;0;2.2.407457.0;2021-06-26 12:33:45
Essencial para programar a Alexa, porém consome muita bateria mesmo quando em 2o plano ou desativado.;4;0;;2020-03-06 14:22:16
Apaixonado pela alexa, deveria ser mais fluido faltam algumas coisas mas eespero que a amazon veja isso pra frente;4;0;;2021-02-06 04:00:16
Um bom trabalho estou me acostumando.;4;0;2.2.432925.0;2021-10-29 15:38:51
Em teste ainda;4;0;2.2.432925.0;2021-10-30 13:34:50
Uma coisa que me incomoda é que ao ligar via P2 o Echo Dot na minha caixa ele sempre come o começo da frase e na caixa so escuto a parte final do que a Alexa diz, se tornando inviável usar com a caixa. Pelo bluetooth tambem as vezes da o problema.;4;6;2.2.298847.0;2020-01-04 19:57:15
O aplicativo é ruim, a caixinha é excepcional;4;0;2.2.416420.0;2021-08-13 14:52:27
Acho que falta algumas interações de conectividade para ele ter o controle total do sistema básico do meu dispositivo, acredito que um upgrade principalmente com interações de funcionalidade em mobile seria mais interativo.;4;0;2.2.367729.0;2020-10-26 11:19:04
Gostaria que ela entendesse o tempo de uma tarefa, como acender uma lâmpada até x horas. Contudo é bem eficiente e versátil.;4;0;2.2.415290.0;2021-08-04 19:25:56
Bom;4;0;2.2.367265.0;2020-10-20 00:50:07
A Amazon poderia liberar todas as funções como: Localização, Detecção de Som e Guard, como funciona em conta com endereço dos EUA.;4;1;2.2.404000.0;2021-06-02 10:15:52
A alexa e simpatia e fofa mas o app en si presisa de muita memoria do celular e um pouco difícil de mexer!mas de resto e muito bom;4;0;2.2.367729.0;2020-10-27 14:17:43
Algumas funções falta aprimorar;4;0;2.2.415290.0;2021-07-29 23:30:30
Ainda ten uns bugs mas funciona razoavelmente bem.;4;0;2.2.432925.0;2021-11-08 00:03:02
Falta opção de conectar a Alexa no Amazon fire stick tv vendido no Brasil.;4;0;2.2.343305.0;2020-07-01 13:28:50
o app é muito bom, mas ainda falta liberar algumas funções para nós que já são disponíveis nos EUA. tipo rotina por localização geográfica e dar vários comandos em sequência;4;1;2.2.435306.0;2021-11-21 07:08:54
Estou gostando muito uma experiência muita boa o aplicativo da excelente;4;0;2.2.416420.0;2021-08-14 10:59:42
sempre funciona ben, mas eu queria saber porque foi excluída a personalização de respostas. tive que refazer diversas rotinas por conta desta mudança. A rotina por localização também foi descontinuada.;4;0;2.2.369045.0;2020-10-29 20:29:46
Muito bom mais deveria coloca o assistente que pode fala com ela fora do aplicativo;4;0;2.2.400291.0;2021-05-09 14:07:45
Excelente, me serve como secretaria tanto profissional como lazer. Minha única critica é que ela não faz ligações para meus contatos do telefone.;4;0;2.2.375370.0;2020-12-29 20:56:16
Muito bom;4;0;2.2.350157.0;2020-08-19 16:43:37
Legal;4;0;2.2.394437.0;2021-04-08 01:43:58
Até o momento muito boa ..ela entende bem .;4;0;2.2.407457.0;2021-07-02 23:39:12
O aplicativo é muito bom mas a única coisa que eu nunca consigo acessar é a luz mas eu acho ele muito bom eu instalei ele desde de 2020 e eu ainda estou com ele até hoje em 2021;4;0;2.2.421843.0;2021-09-06 21:20:25
O App está boa, a tradução podia estar melhor. A Amazon tem recursos para poder fazer melhor.;4;0;2.2.375370.0;2020-12-31 14:07:36
Bom funcionamento.;4;0;2.2.394437.0;2021-04-15 12:26:41
É ótimo mas as vezes n escuta bem;4;0;2.2.356720.0;2020-09-09 06:14:22
Alexa é uma IA muito divertida... espero que a integração dela com outros aparelhos smart melhorem. Mas nota 9.;4;0;2.2.375370.0;2021-01-18 15:23:00
Aplicativo muito bom, mas está com um bug em Comunicação. O aviso de Drop in sempre aparece e não sai da frente dos menos;4;0;2.2.375370.0;2020-12-25 20:57:53
ESTOU ABAIXANDO AGORA VOU VER SE É BOM;4;0;;2020-11-10 02:29:05
100%fora do comum;4;0;2.2.400291.0;2021-05-09 00:57:20
O app da Alexa e bom, mas as vezes ela não entende o que eu falo;4;0;2.2.384932.0;2021-10-24 18:35:21
Muito bom funciona bem;4;0;;2021-06-04 14:01:19
Gostei 👏👏👏;4;0;2.2.398067.0;2021-04-23 14:26:27
Existe muitos recursos para configurar a alexa. Mas precisa ser otimizado, muito lento. Apenas trocar de menu já demora. Não vejo justificativa para isso.;4;40;2.2.383959.0;2021-02-06 12:23:15
Boa demais, eu só uso ela pra jogar;4;0;2.2.426944.0;2021-10-09 23:06:50
Está bacana, porém, ainda tem muito detalhe a acrescentar;4;0;2.2.375370.0;2020-12-08 15:15:05
Legal.;4;0;2.2.367265.0;2020-10-13 10:30:30
Único problema é que não sincroniza os contatos da conta do Google, os contatos precisam estar armazenados no celular, seria melhor se sincronizasse da conta do Google.;4;2;2.2.297923.0;2019-10-10 16:36:17
Bom;4;0;2.2.327278.0;2020-04-10 23:53:33
Ele é ótimo;4;0;2.2.410255.0;2021-07-07 14:22:16
Mt bom;4;0;2.2.350157.0;2020-08-25 17:11:38
Até o momento excelente. Apenas o anel azul que fica alternando indicando que o dispositivo esta ouvindo, de acordo com que pude verificar. No meu entendimento o ideal seria que o anel azul apenas ativasse quando acionado pela palavra chave Alexa.;4;0;2.2.314343.0;2020-02-04 12:55:35
Só falta trabalhar como o Echo: só por voz!;4;0;2.2.394437.0;2021-04-08 07:28:15
No início me perdi mas agora está fácil, não trava. O celular ajuda bastante. Respostas rápidas.;4;1;2.2.407457.0;2021-06-24 02:34:32
Infelizmente n é possível chamar ela fora do app;4;0;;2021-05-28 15:57:37
Bacana;4;0;2.2.350157.0;2020-08-14 02:09:14
Tem muitas coisas boas, mas falta polir alguns detalhes como a troca de região da loja de skills da Alexa!;4;0;2.2.305814.0;2019-12-05 00:52:07
Eficiente mas ainda trava muito ❤️;4;0;2.2.384932.0;2021-02-18 18:23:48
Eu adoro;4;0;;2021-05-29 03:31:36
O aplicativo é bom, porém pode melhorar com relação a compatibilidade com outros serviços de streaming de música como o deezer, não dá para pedir para tocar uma playlist desejada;4;0;2.2.299614.0;2019-10-18 23:36:56
O aplicativo é ótimo só tem um problema ela só atende se tiver com o aplicativo aberto isso e muito chato era pra ser igual a google assistente so de falar o nome já responde a pessoa mais a alexa não tem que ta com o app aberto. esperamos que mais pra frente os desenvolvedores melhore essa parte da pessoa chama o nome da alexa sem precisar ta com app aberto;4;1;2.2.422256.0;2021-09-19 08:56:21
Fantástico! Só não dou 5 estrelas, pois ainda tem algumas palavras em português que ela não reconhece direito. Mas no geral é a melhor assistente do mundo!;4;0;;2021-04-15 11:36:36
Estou ainda testando é bom mas é bem limitado pra uso só do aplicativo no celular!!;4;0;2.2.359773.0;2020-09-20 14:04:03
Gostei bastante desse app mais não faz a maioria das funções;4;0;2.2.387920.0;2021-03-07 02:50:18
Muito bom, mas deveria ter como inserir mais tarefas;4;0;2.2.345151.0;2020-07-11 17:33:51
Eu gostei muito do app mais eu não consigo falar com ela com o celular na tela inicial ou com a tela bloqueada;4;0;2.2.353746.0;2020-08-27 16:30:52
Bem legal, vale bastante a penas;4;0;2.2.416420.0;2021-08-23 23:22:00
Muito bom porém precisa de melhorias relacionadas a assuntos mais complexos u;4;0;2.2.367729.0;2020-10-24 23:13:04
O aplicativo poderia ter como vincular junto com o app de streaming de música do YouTube;4;0;2.2.371484.0;2020-11-07 14:21:20
Muita diversão, informação e conectividade...;4;0;2.2.430534.0;2021-10-23 18:36:40
Muito legal e útil;4;0;2.2.383959.0;2021-02-08 00:01:12
Ótima, mais poderia controlar a alexa também via bloothoth e não só por wi fi . O infravermelho ou outro meio compatível.;4;1;2.2.375370.0;2020-12-28 14:18:44
O aplicativo muito bom, porém quando vai sair uma atualização para agente chama a Alexa de qualquer tela sem precisar de entrar no aplicativo;4;0;2.2.416420.0;2021-08-08 09:01:13
Muito bom aplicativo. Mas o que eu mais queria era que o valor da assinatura do audible fosse em reais. Seria perfeito!!;4;0;2.2.347119.0;2020-07-27 18:08:00
Gostei;4;0;2.2.375370.0;2021-04-15 21:46:59
"Deveria ter como ativar totalmente por voz pra substituir o ""ok Google"" ter que abrir o APP pra falar é muito frustrante";4;1;2.2.395092.0;2021-04-22 03:28:25
É muito bom! Mas como é novo, dever-se-á aprender muito ainda!;4;0;;2020-04-27 14:29:52
Excelente, porém é muito lento, e não é o celular lento. Ele é excelente. Tem que melhorar o desempenho.;4;1;2.2.384932.0;2021-02-09 22:10:39
Otimo!;4;0;2.2.427576.0;2021-10-16 04:43:42
Apesar de todas as inúmeras vantagens e excelentes ferramentas desse APP, o tempo de resposta ao toque na tela, mesmo de simples comandos, é relativamente demorado, a ponto de se achar q o celular travou.;4;2;2.2.369045.0;2020-11-05 15:10:59
App parou de funcionar desde o começo do mês!!;4;0;2.2.432925.0;2021-11-10 00:34:14
Bom.m.;4;0;2.2.359773.0;2020-09-21 20:25:36
O Sistema é Ótimo.... Mas ainda há uns bugs estranhos às vezes.;4;1;2.2.404000.0;2021-06-11 15:19:45
Bom se você saber mexer é um app bom;4;0;2.2.375370.0;2021-01-31 00:59:37
App bom só as vezes que ele não avisa as notícias de manhã mas deve ser por causa da internet eu acho;4;0;2.2.416420.0;2021-08-07 13:26:38
Legal;4;0;;2021-08-27 15:39:23
Top!!!;4;0;2.2.371484.0;2020-11-14 00:20:13
Muito bom pra gerenciar os dispositivos Echo e até mesmo pra usar a Alexa no celular, várias coisas que é realizado no Echo dot dá pra ser feito no celular como leitura de livros e pesquisa por comando de voz;4;1;2.2.416420.0;2021-08-30 12:27:42
Eu baixei porque comprei um echo dot. A alexa funciona muito bem, isso porque é um recurso novo e ainda em desenvolvimento. Tem sim coisas para melhorar, mas já é bem divertido e útil usar a alexa no Brasil.;4;0;2.2.305814.0;2019-12-02 13:28:23
ESSE APP É TOP MAS A OPÇÃO SUSURRAR NÃO FUNCIONA;4;0;2.2.410255.0;2021-07-07 13:18:53
Excelente, porém falta algo muito importante. Uma forma de fazer o Echo obedecer apenas vozes reconhecidas ou bloquear que comandos dados por certas vozes indesejadas sejam executados.;4;2;2.2.373840.0;2020-11-29 16:25:54
Precisa ser atualizado com todas as funções existentes no exterior;4;1;2.2.407457.0;2021-06-23 01:31:59
Me adaptando ainda as tecnologias 😁;4;0;2.2.372932.0;2020-11-19 16:26:11
Ótimo. Pra ser excelente precisa ler as playlist do deezer;4;0;2.2.416420.0;2021-08-09 19:52:49
Muito bom e divertido.;4;0;2.2.367729.0;2020-10-28 01:04:59
Eu estou aprendendo muito;4;0;2.2.299614.0;2019-10-15 21:12:34
Achei bem legal, poderia adicionar mais funções, mais tiraNdo isso é legalzinho;4;0;2.2.390493.0;2021-03-22 17:30:44
Ainda estou aprendendo;4;0;2.2.371484.0;2020-11-11 18:21:39
Ela é boa, porém não consigo acessar skills e não consigo ativar ela fora do app, o que é um pequeno problema para quem não tem tempo de abrir o app, que nem no Google Assistente. Retirando isso, o aplicativo é muito bom.;4;0;2.2.314343.0;2020-02-05 21:36:01
Legal;4;0;2.2.400291.0;2021-05-18 17:01:59
"Poderia fazer pesquisas na internet, como a sua concorrente da Google. Muitas vezes, ela diz apenas que não ""conhece essa"" ao invés de pesquisar na internet.";4;0;2.2.307833.0;2020-01-17 17:48:47
Muito bom, configuração facil;4;0;2.2.430534.0;2021-10-29 13:35:49
Bom;4;0;2.2.423409.0;2021-09-23 16:28:42
Ok;4;0;2.2.427576.0;2021-10-17 14:50:46
Acabei de comprar ainda estou aprendendo a usa-la mas ela está sendo ótima! Parece que tem mais recursos do que imagino!;4;0;2.2.326015.0;2020-04-02 00:58:39
Não consigo colocar a Alexa para falar em português, por favor me ajudem!!!!;4;1;2.2.421843.0;2021-09-05 05:11:56
Muito bacana as funcionalidades do echo, o app ainda precisa melhorar mas já atende bem;4;0;2.2.297923.0;2019-10-09 02:39:02
O site é perfeito mas tive que ver um video de outro site para configurar site não trava é rapido gostei;4;0;2.2.361946.0;2020-10-06 13:05:03
Bom;4;0;2.2.367265.0;2020-10-20 00:53:00
"O app é otimo,mas n consigo criar uma playlist com as musicas que quero,assim poderia falar ""Alexa,toque minha playlist."" e tocaria as musicas que quero,tirando isso o app é muito bom.";4;2;2.2.371484.0;2020-11-18 17:23:32
Algumas vezes mesmo no wifi a alexa diz que está ckm dificuldades, mas ainda é um bom aoo;4;0;2.2.367265.0;2020-10-16 03:58:16
Mt bom slk;4;0;2.2.375370.0;2021-01-19 19:36:09
Joia;4;0;2.2.305814.0;2019-12-04 01:54:07
Timers seriam excelentes no celular.;4;0;2.2.432925.0;2021-10-28 02:36:23
Poderia ter mais opções pra automações;4;0;2.2.331351.0;2020-05-08 18:28:00
Muito bom!!! Excelente 👏👏👏;4;0;;2021-09-07 17:35:01
Bom mas,Precisa de Mais Ajustes...Mas a minha experiência com o app foi Boa;4;0;2.2.347119.0;2020-08-04 01:06:27
É bom, mas as vezes trava muito;4;0;2.2.432925.0;2021-11-06 17:28:18
O app tem um bug irritante nas rotinas. As rotinas ocorrem no horário que eu desejo, mas o app fica mostrando o horário errado, mostra sempre com 1 hora de diferença em relação ao horário que eu programei. Isso confunde quando vou consultar e eventualmente reprogramar;4;1;2.2.314343.0;2020-02-12 13:04:35
Testando em meu celular para decidir se compro o dispositivo. Até agora gostando bastante.;4;0;2.2.416420.0;2021-08-16 02:27:52
Muito bom.;4;0;2.2.423409.0;2021-09-25 16:47:57
Muito legal mas ainda falta algumas funções e melhorias, recomendo a todos que curtem tecnologia.;4;0;2.2.307833.0;2020-01-08 23:43:40
App bom, as vezes dá uma travadinha;4;0;2.2.314343.0;2020-02-10 19:00:47
Ela é muito boa mais eu não sei como botar ela em outra tela além do app dela msm.;4;0;2.2.359773.0;2020-09-18 13:03:16
Muito bom o app mas tem questões que ela não responde e tmb fica aparecendo a notificação da música da alexa quando peda para ela tocar;4;1;2.2.399869.0;2021-05-03 18:45:42
Legal;4;0;2.2.343305.0;2020-06-29 22:35:50
Funções úteis, e melhorando!;4;0;2.2.296128.0;2019-10-03 12:56:45
Aplicativo bem legal;4;0;2.2.421843.0;2021-09-05 17:33:11
Interface bonita, com facilidade de uso.;4;1;2.2.407457.0;2021-06-28 19:28:59
Funciona muito bem.. mas demora pra carregar as coisas, como a lista de compras.;4;0;2.2.421843.0;2021-09-07 20:27:28
Bom!;4;0;2.2.375370.0;2021-01-24 16:48:03
Muito bom aplicativo, realmente me impressionou, estou usando no smartphone e tá muito bom pra mim faltou apenas o comando de voz automático sem precisar de tocar no botão.;4;6;2.2.334561.0;2020-05-13 21:59:51
Excelente programa;4;0;;2020-11-18 18:30:24
O App é fácil de usar o dispositivo é muito prático! Ainda não é perfeito, mas um dia chega lá.;4;0;2.2.356720.0;2020-09-05 12:38:33
Estou gostando até momento;4;0;2.2.302167.0;2019-11-01 19:57:28
Muito bom, as respostas são bem formuladas.;4;0;;2021-06-12 13:12:13
Estou gostando do APP mas não consigo compreender mas eu abaixei hoje mas vou aprender;4;0;2.2.422256.0;2021-09-11 13:13:14
bem relevante e prático;4;0;2.2.403931.0;2021-05-19 23:12:45
Muito bom;4;0;2.2.416420.0;2021-08-31 22:05:38
O programa está se aperfeiçoando, mas muitas pesquisas externas ao Amazon não são feitas.;4;0;2.2.339390.0;2020-06-12 20:48:46
Bom e útil;4;0;2.2.435197.0;2021-11-20 01:39:06
Tenho um ar condicionado adicionado por um controle remoto Wi-Fi. Ao clicar no dispositivo pra alterar a temperatura o app trava e não abre.;4;0;2.2.390493.0;2021-03-27 04:32:07
O aplicativo só quer mostrar a skill em inglês e n da a opção para português;4;0;2.2.384932.0;2021-02-18 22:06:26
Muito top pena q agente n pode só fl pelo celular sem antes ativa a lexia;4;0;;2021-08-29 22:57:26
Bom no geral, mas algumas coisas não são muito intuitivas para mexer;4;0;2.2.432925.0;2021-11-04 17:22:56
Até agora estou gostando muito e recomendo!!;4;0;2.2.403931.0;2021-05-30 00:58:59
Algumas falhas ainda mas bom;4;0;2.2.367729.0;2020-10-21 19:24:30
Gostei;4;0;2.2.410255.0;2021-07-13 02:53:28
Muito bom!;4;0;2.2.297923.0;2019-10-12 18:12:19
Podia ser melhor maus tá melhor q o Google kkkk;4;0;2.2.375370.0;2020-12-13 07:55:44
Trava em alguns momentos;4;0;2.2.307833.0;2020-01-04 12:08:01
"O app funciona quase tudo ok, mas a aba de ""comunicar"" e ""contatos"" não funciona, TD vez que eu clico nelas meu app cradha e fecha sozinho, então n consigo fazer ligações e mandar mensagens pelo meu echo dot";4;0;2.2.334561.0;2020-05-24 04:53:45
Muito bom;4;0;2.2.400291.0;2021-05-06 23:43:50
"Interessante, porém muitas vezes ela me interrompe para dizer ""certo"" e desliga o microfone";4;0;2.2.305814.0;2019-11-28 17:28:15
Bem, funciona bem mais tem bastante erros na Alexa (echo dot) em si;4;0;2.2.375370.0;2020-12-16 14:34:21
Legal;4;0;2.2.369045.0;2020-11-01 14:07:32
Iniciando minha experiência, ainda aprendendo.;4;0;2.2.410255.0;2021-07-07 23:13:22
Poderia sincronizar melhor com p spotify. Funciona, mas nao reconhece as playlists proprias....;4;1;2.2.394437.0;2021-04-06 22:05:28
